desc,num,txns,desc2
FREE LAYAWAY-COUPON,10019209,865.00,'FREE LAYAWAY-COUPON
$10 OFF A $100 TOY PURCHASE-COUPON,10019228,1710.00,'$10 OFF A $100 TOY PURCHASE-COUPON
$5 OFF GILLETTE CARTRIDGE 12CT OR HIGHER,10034733,1119.00,'$5 OFF GILLETTE CARTRIDGE 12CT OR HIGHER
$3 OFF GILLETTE CARTRIDGE 4CT OR HIGHER,10034743,1559.00,'$3 OFF GILLETTE CARTRIDGE 4CT OR HIGHER
$1 OFF GILLETTE PREMIUM SYSTEMS,10034751,1365.00,'$1 OFF GILLETTE PREMIUM SYSTEMS
5% OFF YOUR FIRST PURCHASE,10060478,4.00,'5% OFF YOUR FIRST PURCHASE
$10 OFF $75 OR MORE PURCHASE,10068265,25420.00,'$10 OFF $75 OR MORE PURCHASE
$5 OFF $50 OR MORE PURCHASE,10078474,12692.00,'$5 OFF $50 OR MORE PURCHASE
$10 OFF $100 OR MORE PURCHASE,10078500,13874.00,'$10 OFF $100 OR MORE PURCHASE
$20 OFF $200 OR MORE PURCHASE,10078522,11689.00,'$20 OFF $200 OR MORE PURCHASE
$10 OFF YOUR PURCHASE OF $50 OR MORE,10088423,11.00,'$10 OFF YOUR PURCHASE OF $50 OR MORE
$10 OFF $75 OR MORE PURCHASE,10107849,61384.00,'$10 OFF $75 OR MORE PURCHASE
$5 OFF BABY FORMULA PURCHASE OF $30 OR MORE,10112481,461.00,'$5 OFF BABY FORMULA PURCHASE OF $30 OR MORE
"$10 OFF CRIB, STROLLER OR CAR SEAT PURCHASE OF $10",10112482,1012.00,"'$10 OFF CRIB, STROLLER OR CAR SEAT PURCHASE OF $10"
$10 OFF BABY VIDEO MONITOR PURCHASE OF $100 OR MOR,10112485,67.00,'$10 OFF BABY VIDEO MONITOR PURCHASE OF $100 OR MOR
20% OFF ANY HOME ITEM,10116368,4935.00,'20% OFF ANY HOME ITEM
20% OFF ANY SHOE OR ACCESSORIES ITEM,10116369,4516.00,'20% OFF ANY SHOE OR ACCESSORIES ITEM
$10 OFF ANY SALON SERVICE $50 OR MORE,10116370,922.00,'$10 OFF ANY SALON SERVICE $50 OR MORE
20% OFF ANY APPAREL ITEM,10116652,1981.00,'20% OFF ANY APPAREL ITEM
10% Off Any Estee Lauder OR Clinique Item,10154126,1687.00,'10% Off Any Estee Lauder OR Clinique Item
20% Off Entire Stock of Select Hair Care Brands Fr,10154154,184.00,'20% Off Entire Stock of Select Hair Care Brands Fr
"20% Off Entire Stock of L'Oreal, Maybelline, And C",10154172,475.00,"'20% Off Entire Stock of L'Oreal, Maybelline, And C"
$1 OFF ANY 2 HERSHEY CANDY DISH BAGS,10171219,65.00,'$1 OFF ANY 2 HERSHEY CANDY DISH BAGS
SCRATCH OFF PROMO MARCH 16-22 2016,10177890,122984.00,'SCRATCH OFF PROMO MARCH 16-22 2016
20% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPLIANCE,10178069,1183.00,'20% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPLIANCE
$15 OFF ANY FUTURE PURCHASE AFTER A PURCHASE OF $1,10178071,29099.00,'$15 OFF ANY FUTURE PURCHASE AFTER A PURCHASE OF $1
"FREE HOME DELIVERY FURNITURE, MATTRESS, MAJOR APPL",10179035,544.00,"'FREE HOME DELIVERY FURNITURE, MATTRESS, MAJOR APPL"
70th Anniversary NEX Scratch-off,10205857,109795.00,'70th Anniversary NEX Scratch-off
"$5 OFF PAMPERS, HUGGIES, LUVS PURCHASE OF $45 OR M",10217642,396.00,"'$5 OFF PAMPERS, HUGGIES, LUVS PURCHASE OF $45 OR M"
20% OFF ANY SINGLE ITEM (SHOES),10222338,5477.00,'20% OFF ANY SINGLE ITEM (SHOES)
"20% OFF ANY SINGLE ITEM (HANDBAG, WATCH OR SUNGLAS",10222347,4138.00,"'20% OFF ANY SINGLE ITEM (HANDBAG, WATCH OR SUNGLAS"
20% OFF ANY SINGLE ITEM (APPAREL),10222348,7653.00,'20% OFF ANY SINGLE ITEM (APPAREL)
APRIL 6-12: SAVE $10 OFF TOTAL PURCHASE OF $70 OR,10251511,13811.00,'APRIL 6-12: SAVE $10 OFF TOTAL PURCHASE OF $70 OR
"APRIL 13-19: SAVE 30% OFF ONE ITEM IN APPAREL, SHO",10251538,32158.00,"'APRIL 13-19: SAVE 30% OFF ONE ITEM IN APPAREL, SHO"
APRIL 20-26: SAVE $10 OFF TOTAL PURCHASE OF $70 OR,10251546,13257.00,'APRIL 20-26: SAVE $10 OFF TOTAL PURCHASE OF $70 OR
APRIL 6-26: SAVE $70 OFF ENTIRE PURCHASE OF $699 O,10251553,4368.00,'APRIL 6-26: SAVE $70 OFF ENTIRE PURCHASE OF $699 O
SAVE $10 OFF TOTAL PURCHASE OF $70 OR MORE,10251653,42428.00,'SAVE $10 OFF TOTAL PURCHASE OF $70 OR MORE
"APRIL 13-19: SAVE 30% OFF ONE ITEM IN APPAREL, SHO",10251657,31761.00,"'APRIL 13-19: SAVE 30% OFF ONE ITEM IN APPAREL, SHO"
APRIL 20-26: SAVE $10 OFF TOTAL PURCHASE OF $70 OR,10251668,12175.00,'APRIL 20-26: SAVE $10 OFF TOTAL PURCHASE OF $70 OR
APRIL 6-26: SAVE $70 OFF ENTIRE PURCHASE OF $699 O,10251671,3884.00,'APRIL 6-26: SAVE $70 OFF ENTIRE PURCHASE OF $699 O
APRIL 6-12: SAVE $10 OFF TOTAL PURCHASE OF $70 OR,10251681,840.00,'APRIL 6-12: SAVE $10 OFF TOTAL PURCHASE OF $70 OR
"APRIL 13-19: SAVE 30% OFF ONE ITEM IN APPAREL, SHO",10251692,863.00,"'APRIL 13-19: SAVE 30% OFF ONE ITEM IN APPAREL, SHO"
APRIL 20-26: SAVE $10 OFF TOTAL PURCHASE OF $70 OR,10251697,367.00,'APRIL 20-26: SAVE $10 OFF TOTAL PURCHASE OF $70 OR
APRIL 6-26: SAVE $70 OFF ENTIRE PURCHASE OF $699 O,10251698,131.00,'APRIL 6-26: SAVE $70 OFF ENTIRE PURCHASE OF $699 O
"Save 20% On Entire Purchase from Revlon, L'Oreal,",10277862,1030.00,"'Save 20% On Entire Purchase from Revlon, L'Oreal,"
BUY 2 HVY DUTY PKG TAPE SAVE $1 (3M PRODUCTS),10279738,1.00,'BUY 2 HVY DUTY PKG TAPE SAVE $1 (3M PRODUCTS)
$10 OFF YOUR PURCHASE OF $40 OR MORE FOR RUBBERMAI,10279799,1.00,'$10 OFF YOUR PURCHASE OF $40 OR MORE FOR RUBBERMAI
"20% OFF AMIKA PRO APPLIANCES, MATRIX TOTAL RESULTS",10298946,95.00,"'20% OFF AMIKA PRO APPLIANCES, MATRIX TOTAL RESULTS"
20% OFF ANY SINGLE ITEM (SHOES FOR THE FAMILY),10302076,13691.00,'20% OFF ANY SINGLE ITEM (SHOES FOR THE FAMILY)
"10% OFF ANY SINGLE ITEM (GRILLS, MOWERS AND PATIO",10302085,238.00,"'10% OFF ANY SINGLE ITEM (GRILLS, MOWERS AND PATIO"
20% OFF ANY SINGLE ITEM (FURNITURE),10302087,823.00,'20% OFF ANY SINGLE ITEM (FURNITURE)
"20% OFF ANY SINGLE ITEM (SMALL KITCHEN APPLIANCES,",10302099,16487.00,"'20% OFF ANY SINGLE ITEM (SMALL KITCHEN APPLIANCES,"
"25% OFF A SINGLE ITEM FROM MEN'S, LADIES, KIDS, IN",10310731,68315.00,"'25% OFF A SINGLE ITEM FROM MEN'S, LADIES, KIDS, IN"
"30% OFF A SINGLE ITEM FROM LUGGAGE, HANDBAGS, SLG,",10310797,21100.00,"'30% OFF A SINGLE ITEM FROM LUGGAGE, HANDBAGS, SLG,"
10% OFF ENTIRE PURCHASE OF PRESTIGE COSMETICS & FR,10310821,2355.00,'10% OFF ENTIRE PURCHASE OF PRESTIGE COSMETICS & FR
WEEK 20 SCRATCHER (MAILER VERSION),10329699,82750.00,'WEEK 20 SCRATCHER (MAILER VERSION)
WEEK 20 SCRATCHER (STORE HANDOUT VERSION),10329738,48791.00,'WEEK 20 SCRATCHER (STORE HANDOUT VERSION)
$20 OFF NEX COUPON (NEW SANNO EXCHANGE ONLY),10332006,715.00,'$20 OFF NEX COUPON (NEW SANNO EXCHANGE ONLY)
$20 OFF YOUR PURCHASE OF $50 OR MORE (REGULAR/SALE,10338665,52.00,'$20 OFF YOUR PURCHASE OF $50 OR MORE (REGULAR/SALE
$1 OFF $10 PURCHASE SANFORD PRODUCTS,10351641,33.00,'$1 OFF $10 PURCHASE SANFORD PRODUCTS
$5 OFF $25 PURCHASE SANFORD PRODUCTS,10351652,19.00,'$5 OFF $25 PURCHASE SANFORD PRODUCTS
$15 OFF $50 PURCHASE SANFORD PRODUCTS,10351658,13.00,'$15 OFF $50 PURCHASE SANFORD PRODUCTS
"25% OFF ANY SINGLE ITEM FROM APPAREL, HANDBAGS, OR",10357148,19768.00,"'25% OFF ANY SINGLE ITEM FROM APPAREL, HANDBAGS, OR"
SCRATCHER CARD (CHANCE TO GET YOUR ENTIRE PURCHASE,10418461,127481.00,'SCRATCHER CARD (CHANCE TO GET YOUR ENTIRE PURCHASE
FURNITURE AND MATTRESS SCRATCHER,10456027,2470.00,'FURNITURE AND MATTRESS SCRATCHER
WK37 AMERICA'S SAILOR SCRATCHER (IN-STORE),10516103,55338.00,'WK37 AMERICA'S SAILOR SCRATCHER (IN-STORE)
WK37 AMERICA'S SAILOR SCRATCHER (DEERS),10516125,9930.00,'WK37 AMERICA'S SAILOR SCRATCHER (DEERS)
WK37 AMERICA'S SAILOR SCRATCHER (MMF),10516126,72697.00,'WK37 AMERICA'S SAILOR SCRATCHER (MMF)
"$10 OFF ANY SINGLE ITEM (MEN'S, LADIES', CHILDREN'",10517559,3471.00,"'$10 OFF ANY SINGLE ITEM (MEN'S, LADIES', CHILDREN'"
$10 OFF ANY SINGLE ITEM (SHOE PURCHASE OF $75 OR M,10517604,1562.00,'$10 OFF ANY SINGLE ITEM (SHOE PURCHASE OF $75 OR M
25% OFF ANY SINGLE ITEM (MICHAEL KORHS OR COACH HA,10517611,1419.00,'25% OFF ANY SINGLE ITEM (MICHAEL KORHS OR COACH HA
10% OFF ALL INSTALLED LABOR SERVICE (CARE CARE CEN,10530703,77.00,'10% OFF ALL INSTALLED LABOR SERVICE (CARE CARE CEN
SCRATCHER CARD (CHANCE TO GET YOUR ENTIRE PURCHASE,10555018,89102.00,'SCRATCHER CARD (CHANCE TO GET YOUR ENTIRE PURCHASE
SCRATCHER CARD (CHANCE TO GET YOUR ENTIRE PURCHASE,10555042,43389.00,'SCRATCHER CARD (CHANCE TO GET YOUR ENTIRE PURCHASE
3 DAY SALE (CHANCE TO GET YOUR ENTIRE PURCHASE FRE,10581302,114653.00,'3 DAY SALE (CHANCE TO GET YOUR ENTIRE PURCHASE FRE
WEEK 38 10-50% OFF JEWELRY PURCHASE,10593428,1156.00,'WEEK 38 10-50% OFF JEWELRY PURCHASE
WEEK 46 SCRATCHER EXTRA 5%-50% OFF OR $500 GIFT CA,10601613,82843.00,'WEEK 46 SCRATCHER EXTRA 5%-50% OFF OR $500 GIFT CA
WEEK 46 SCRATCHER EXTRA 5%-50% OFF OR $500 GIFT CA,10601660,125699.00,'WEEK 46 SCRATCHER EXTRA 5%-50% OFF OR $500 GIFT CA
$10 OFF A $100 TOY PURCHASE-COUPON,10635328,3.00,'$10 OFF A $100 TOY PURCHASE-COUPON
SAVE 10% OFF YOUR TOTAL TOY PURCHASE,10636085,2315.00,'SAVE 10% OFF YOUR TOTAL TOY PURCHASE
"SAVE 20% OFF ANY SINGLE ITEM FROM APPAREL MENS, LA",10636098,40043.00,"'SAVE 20% OFF ANY SINGLE ITEM FROM APPAREL MENS, LA"
"SAVE 20% OFF ANY SINGLE ITEM OF SHOES MENS, LADIES",10636114,13710.00,"'SAVE 20% OFF ANY SINGLE ITEM OF SHOES MENS, LADIES"
20% OFF ANY SINGLE ITEM OF ACCESSORIES HANDBAGS &,10636119,13198.00,'20% OFF ANY SINGLE ITEM OF ACCESSORIES HANDBAGS &
SAVE 20% OFF ANY SINGLE ITEM IN FURNITURE OR MATTR,10636131,3097.00,'SAVE 20% OFF ANY SINGLE ITEM IN FURNITURE OR MATTR
"SAVE 20% OFF ANY SINGLE ITEM IN HOUSEWARES, DOMEST",10636135,14506.00,"'SAVE 20% OFF ANY SINGLE ITEM IN HOUSEWARES, DOMEST"
SAVE 10% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPL,10636151,3989.00,'SAVE 10% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPL
$5 OFF ERGOBABY PURCHASE OF $75 OR MORE,10657113,62.00,'$5 OFF ERGOBABY PURCHASE OF $75 OR MORE
$10 OFF STROLLER OR CAR SEAT PURCHASE OF $150 OR M,10657119,237.00,'$10 OFF STROLLER OR CAR SEAT PURCHASE OF $150 OR M
$15 OFF NURSERY PURCHASE OF $200 OR MORE (INCL CRI,10657120,78.00,'$15 OFF NURSERY PURCHASE OF $200 OR MORE (INCL CRI
"SAVE 20% OFF ANY SINGLE ITEM(SHOES, HANDBAG, WATCH",10659141,5408.00,"'SAVE 20% OFF ANY SINGLE ITEM(SHOES, HANDBAG, WATCH"
SAVE $10 OFF PURCHASE OF $70 OR MORE,10659147,8371.00,'SAVE $10 OFF PURCHASE OF $70 OR MORE
SAVE 20% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPL,10659151,1004.00,'SAVE 20% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPL
SELFIES WITH SANTA $5.00 COUPON,10664261,123.00,'SELFIES WITH SANTA $5.00 COUPON
WEEK 1 THREE WAYS TO SAVE ALL WEEK LONG MAILER,10677033,67371.00,'WEEK 1 THREE WAYS TO SAVE ALL WEEK LONG MAILER
WEEK 1 THREE WAYS TO SAVE ALL WEEK LONG IN-STORE,10677066,47612.00,'WEEK 1 THREE WAYS TO SAVE ALL WEEK LONG IN-STORE
"SAVE 20% OFF ANY SINGLE ITEM(SHOES, HANDBAG, WATCH",10677147,1672.00,"'SAVE 20% OFF ANY SINGLE ITEM(SHOES, HANDBAG, WATCH"
"SAVE 20% OFF ANY SINGLE ITEM FROM APPAREL MENS, LA",10677155,2021.00,"'SAVE 20% OFF ANY SINGLE ITEM FROM APPAREL MENS, LA"
SAVE $10 OFF PURCHASE OF $70 OR MORE E-MAIL,10677159,1907.00,'SAVE $10 OFF PURCHASE OF $70 OR MORE E-MAIL
SAVE 20% OFF ANY SINGLE ITEM IN FURNITURE OR MATTR,10677168,285.00,'SAVE 20% OFF ANY SINGLE ITEM IN FURNITURE OR MATTR
"SAVE 20% OFF ANY SINGLE ITEM IN HOUSEWARES, DOMEST",10677169,629.00,"'SAVE 20% OFF ANY SINGLE ITEM IN HOUSEWARES, DOMEST"
SAVE 20% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPL,10677171,227.00,'SAVE 20% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPL
"SAVE 20% OFF ANY SINGLE ITEM(SHOES, HANDBAG, WATCH",10677316,1996.00,"'SAVE 20% OFF ANY SINGLE ITEM(SHOES, HANDBAG, WATCH"
SAVE $10 OFF PURCHASE OF $70 OR MORE WEB,10677337,1203.00,'SAVE $10 OFF PURCHASE OF $70 OR MORE WEB
SAVE 20% OFF ANY SINGLE ITEM IN FURNITURE OR MATTR,10677690,832.00,'SAVE 20% OFF ANY SINGLE ITEM IN FURNITURE OR MATTR
"SAVE 20% OFF ANY SINGLE ITEM IN HOUSEWARES, DOMEST",10677700,517.00,"'SAVE 20% OFF ANY SINGLE ITEM IN HOUSEWARES, DOMEST"
SAVE 20% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPL,10677707,136.00,'SAVE 20% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPL
"SAVE 20% OFF ANY SINGLE ITEM FROM APPAREL MENS, LA",10677708,1910.00,"'SAVE 20% OFF ANY SINGLE ITEM FROM APPAREL MENS, LA"
$5 OFF ERGOBABY PURCHASE OF $75 OR MORE - WEB ONLY,10681671,5.00,'$5 OFF ERGOBABY PURCHASE OF $75 OR MORE - WEB ONLY
$10 OFF STROLLER OR CAR SEAT PURCHASE OF $150 OR M,10681674,18.00,'$10 OFF STROLLER OR CAR SEAT PURCHASE OF $150 OR M
$10 OFF STROLLER OR CAR SEAT PURCHASE OF $150 OR M,10681681,7.00,'$10 OFF STROLLER OR CAR SEAT PURCHASE OF $150 OR M
$15 OFF NURSERY PURCHASE OF $200 OR MORE (INCL. CR,10681697,3.00,'$15 OFF NURSERY PURCHASE OF $200 OR MORE (INCL. CR
GREEN MONDAY $10 OFF $75,10686495,4.00,'GREEN MONDAY $10 OFF $75
"20% OFF SNGLE REG PRICE FOOTWEAR FROM NIKE, UA,OR",10690551,6066.00,"'20% OFF SNGLE REG PRICE FOOTWEAR FROM NIKE, UA,OR"
"20% OFF SNGLE REG PRICE FOOTWEAR FROM NIKE, UA,OR",10690590,96.00,"'20% OFF SNGLE REG PRICE FOOTWEAR FROM NIKE, UA,OR"
"20% OFF SNGLE REG PRICE FOOTWEAR FROM NIKE, UA,OR",10690603,117.00,"'20% OFF SNGLE REG PRICE FOOTWEAR FROM NIKE, UA,OR"
20% OFF SNGLE REG PRICE MENS_BOYS APPAREL FROM NIK,10690621,4463.00,'20% OFF SNGLE REG PRICE MENS_BOYS APPAREL FROM NIK
20% OFF SNGLE REG PRICE MENS_BOYS APPAREL FROM NIK,10690636,62.00,'20% OFF SNGLE REG PRICE MENS_BOYS APPAREL FROM NIK
20% OFF SNGLE REG PRICE MENS_BOYS APPAREL FROM NIK,10690640,90.00,'20% OFF SNGLE REG PRICE MENS_BOYS APPAREL FROM NIK
20% OFF SNGLE REG PRICE LADIES_GIRLS APPAREL FROM,10690648,2476.00,'20% OFF SNGLE REG PRICE LADIES_GIRLS APPAREL FROM
20% OFF SNGLE REG PRICE LADIES_GIRLS APPAREL FROM,10690651,34.00,'20% OFF SNGLE REG PRICE LADIES_GIRLS APPAREL FROM
20% OFF SNGLE REG PRICE LADIES_GIRLS APPAREL FROM,10690656,46.00,'20% OFF SNGLE REG PRICE LADIES_GIRLS APPAREL FROM
20% OFF SNGLE REG PRICE SPRT NUTRITION FROM OPTIMU,10690664,229.00,'20% OFF SNGLE REG PRICE SPRT NUTRITION FROM OPTIMU
20% OFF SNGLE REG PRICE SPRT NUTRITION FROM OPTIMU,10690671,8.00,'20% OFF SNGLE REG PRICE SPRT NUTRITION FROM OPTIMU
20% OFF SNGLE REG PRICE SPRT NUTRITION FROM OPTIMU,10690673,3.00,'20% OFF SNGLE REG PRICE SPRT NUTRITION FROM OPTIMU
"25% OFF ENTIRE STOCK OF STAR WARS, NERF & DISNEY P",10702512,1006.00,"'25% OFF ENTIRE STOCK OF STAR WARS, NERF & DISNEY P"
"25% OFF ENTIRE STOCK OF STAR WARS, NERF & DISNEY P",10702531,18.00,"'25% OFF ENTIRE STOCK OF STAR WARS, NERF & DISNEY P"
15% OFF ANY REGULAR PRICE MEN?S OR LADIES? FRAGRAN,10702538,4487.00,'15% OFF ANY REGULAR PRICE MEN?S OR LADIES? FRAGRAN
15% OFF ANY REGULAR PRICE MEN?S OR LADIES? FRAGRAN,10702545,65.00,'15% OFF ANY REGULAR PRICE MEN?S OR LADIES? FRAGRAN
25% OFF ENTIRE STOCK OF BATH & BEDDING DOMESTICS,10702551,1090.00,'25% OFF ENTIRE STOCK OF BATH & BEDDING DOMESTICS
25% OFF ENTIRE STOCK OF BATH & BEDDING DOMESTICS -,10702559,23.00,'25% OFF ENTIRE STOCK OF BATH & BEDDING DOMESTICS -
$125 MINI PROJECTOR WITH KIT,10702565,124.00,'$125 MINI PROJECTOR WITH KIT
$5 DISNEY STORY BOOKS,10702573,579.00,'$5 DISNEY STORY BOOKS
"FREE HOME DELIVERY FURNITURE, MATTRESS, MAJOR APPL",10721880,491.00,"'FREE HOME DELIVERY FURNITURE, MATTRESS, MAJOR APPL"
"FREE HOME DELIVERY FURNITURE, MATTRESS, MAJOR APPL",10721898,62.00,"'FREE HOME DELIVERY FURNITURE, MATTRESS, MAJOR APPL"
"PRESIDENTS DAY BONUS SAVINGS (FEB 17-FEB 20, 2017)",10725565,1885.00,"'PRESIDENTS DAY BONUS SAVINGS (FEB 17-FEB 20, 2017)"
WK51 $10 OFF OF $70_ WEB USE,10731570,19.00,'WK51 $10 OFF OF $70_ WEB USE
WK51 $10 OFF OF $70_ EMAIL USE,10731580,646.00,'WK51 $10 OFF OF $70_ EMAIL USE
WK51 $10 OFF OF $70_SOCIAL MEDIA USE,10731594,6.00,'WK51 $10 OFF OF $70_SOCIAL MEDIA USE
"20% OFF SINGLE REG. PRICE FOOTWEAR ITEM FROM NIKE,",10731773,2.00,"'20% OFF SINGLE REG. PRICE FOOTWEAR ITEM FROM NIKE,"
7 DAYS TO SAVE BIG (MAIL),10741074,78906.00,'7 DAYS TO SAVE BIG (MAIL)
7 DAYS TO SAVE BIG (IN-STORE),10741077,64055.00,'7 DAYS TO SAVE BIG (IN-STORE)
"FREE HOME DELIVERY FURNITURE, MATTRESS, MAJOR APPL",10746361,121.00,"'FREE HOME DELIVERY FURNITURE, MATTRESS, MAJOR APPL"
"$10 OFF $100 (APR 1, 2017 - MAY 31, 2017)",10747749,16.00,"'$10 OFF $100 (APR 1, 2017 - MAY 31, 2017)"
"$10 OFF $100 (MAY 1, 2017 - JUN 30, 2017)",10747760,40.00,"'$10 OFF $100 (MAY 1, 2017 - JUN 30, 2017)"
"$10 OFF $100 (JUN 1, 2017 - JUL 31, 2017)",10747773,54.00,"'$10 OFF $100 (JUN 1, 2017 - JUL 31, 2017)"
"$10 OFF $100 (JUL 1, 2017 - AUG 31, 2017)",10747780,46.00,"'$10 OFF $100 (JUL 1, 2017 - AUG 31, 2017)"
20% OFF ANY SINGLE ITEM IN SHOES (REG/ SALE/ CLEAR,10776717,4362.00,'20% OFF ANY SINGLE ITEM IN SHOES (REG/ SALE/ CLEAR
"20% OFF ANY SINGLE ITEM IN HANDBAGS, WATCHES, SUNG",10776757,3185.00,"'20% OFF ANY SINGLE ITEM IN HANDBAGS, WATCHES, SUNG"
20% OFF ANY SINGLE ITEM IN APPAREL FOR THE FAMILY,10776788,5918.00,'20% OFF ANY SINGLE ITEM IN APPAREL FOR THE FAMILY
$10 OFF FISHER-PRICE FOR BABY PURCHASE OF $125 OR,10776850,3.00,'$10 OFF FISHER-PRICE FOR BABY PURCHASE OF $125 OR
$15 OFF GRACO PURCHASE OF $200 OR MORE,10776868,76.00,'$15 OFF GRACO PURCHASE OF $200 OR MORE
$20 OFF CHICCO OR BRITAX PURCHASE OF $250 OR MORE,10776880,66.00,'$20 OFF CHICCO OR BRITAX PURCHASE OF $250 OR MORE
20% OFF ANY SINGLE ITEM IN SHOES (REG/ SALE/ CLEAR,10786171,208.00,'20% OFF ANY SINGLE ITEM IN SHOES (REG/ SALE/ CLEAR
20% OFF ANY SINGLE ITEM IN SHOES (REG/ SALE/ CLEAR,10786193,292.00,'20% OFF ANY SINGLE ITEM IN SHOES (REG/ SALE/ CLEAR
"20% OFF ANY SINGLE ITEM IN HANDBAGS, WATCHES, SUNG",10786194,111.00,"'20% OFF ANY SINGLE ITEM IN HANDBAGS, WATCHES, SUNG"
"20% OFF ANY SINGLE ITEM IN HANDBAGS, WATCHES, SUNG",10786207,184.00,"'20% OFF ANY SINGLE ITEM IN HANDBAGS, WATCHES, SUNG"
20% OFF ANY SINGLE ITEM IN APPAREL FOR THE FAMILY,10786210,266.00,'20% OFF ANY SINGLE ITEM IN APPAREL FOR THE FAMILY
