Date,# Txns,Sales U,Sales $
1-Feb-2015,52713.00,242820.98,3702554.51
2-Feb-2015,51179.00,209219.29,3304841.10
3-Feb-2015,47104.00,175643.67,2249507.40
4-Feb-2015,48408.00,184725.73,2556367.22
5-Feb-2015,47772.00,184889.09,2378630.13
6-Feb-2015,56912.00,226601.66,2947116.57
7-Feb-2015,62463.00,276131.75,4029969.36
8-Feb-2015,50548.00,219208.27,2999385.64
9-Feb-2015,46557.00,177721.57,2226300.34
10-Feb-2015,48906.00,192312.30,2388968.09
11-Feb-2015,55117.00,233746.44,3245038.92
12-Feb-2015,63380.00,260388.22,3638980.72
13-Feb-2015,93672.00,404278.08,6354056.50
14-Feb-2015,76743.00,360574.96,5633760.39
15-Feb-2015,53396.00,246649.79,3677450.22
16-Feb-2015,46192.00,202056.48,2949184.94
17-Feb-2015,37596.00,144700.79,1743511.16
18-Feb-2015,47417.00,188362.96,2300089.52
19-Feb-2015,50808.00,220302.12,2666985.80
20-Feb-2015,55793.00,228004.61,3016078.26
21-Feb-2015,60669.00,274421.89,3937194.47
22-Feb-2015,47956.00,212962.58,2866881.39
23-Feb-2015,44944.00,171548.61,2026885.82
24-Feb-2015,47261.00,184989.84,2235184.70
25-Feb-2015,51736.00,206358.13,2703491.16
26-Feb-2015,45717.00,185633.87,2507563.58
27-Feb-2015,64186.00,268342.47,3653056.69
28-Feb-2015,67849.00,316469.92,4652901.97
1-Mar-2015,51730.00,237723.62,3386907.67
2-Mar-2015,49587.00,196754.53,2355931.92
3-Mar-2015,49272.00,192921.91,2450016.25
4-Mar-2015,51522.00,208966.66,2539468.01
5-Mar-2015,44286.00,175970.50,2170205.95
6-Mar-2015,56349.00,233110.21,3058259.61
7-Mar-2015,62227.00,282715.86,3818079.99
8-Mar-2015,48409.00,220730.59,2826689.71
9-Mar-2015,44496.00,171346.94,1912999.13
10-Mar-2015,45213.00,172199.56,1894967.55
11-Mar-2015,67640.00,310658.23,5593548.04
12-Mar-2015,65305.00,294511.28,4163583.58
13-Mar-2015,71576.00,323049.47,4691733.66
14-Mar-2015,74534.00,374785.30,5950657.46
15-Mar-2015,58782.00,284749.51,4393876.82
16-Mar-2015,55947.00,233624.36,3133105.69
17-Mar-2015,63124.00,263752.61,3839814.10
18-Mar-2015,50621.00,205877.70,2432345.07
19-Mar-2015,51146.00,203312.10,2436280.33
20-Mar-2015,57548.00,242349.47,2974228.24
21-Mar-2015,60140.00,271261.56,3759832.57
22-Mar-2015,47761.00,220968.56,2940911.41
23-Mar-2015,45202.00,178300.66,2044560.21
24-Mar-2015,50856.00,210948.16,2295797.55
25-Mar-2015,53560.00,227426.80,2627631.57
26-Mar-2015,50537.00,209417.74,2374866.68
27-Mar-2015,61672.00,265685.66,3765470.42
28-Mar-2015,63677.00,305529.25,4434161.58
29-Mar-2015,53158.00,258463.46,3551224.67
30-Mar-2015,47102.00,193638.08,2240051.58
31-Mar-2015,57058.00,243285.62,2912443.24
1-Apr-2015,59609.00,267391.43,3285679.93
2-Apr-2015,59158.00,265582.82,3109747.93
3-Apr-2015,66629.00,309066.15,3809233.70
4-Apr-2015,67915.00,340948.72,4453472.33
5-Apr-2015,36941.00,159966.84,2185594.92
6-Apr-2015,49795.00,208440.09,2364601.64
7-Apr-2015,50136.00,204481.60,2449473.43
8-Apr-2015,53832.00,221591.74,2957780.92
9-Apr-2015,52335.00,216395.13,2641328.29
10-Apr-2015,58264.00,241528.34,3118912.44
11-Apr-2015,60933.00,272714.69,3811820.44
12-Apr-2015,48687.00,218440.52,2925116.37
13-Apr-2015,45477.00,181869.38,2123875.01
14-Apr-2015,51474.00,208176.03,2590611.78
15-Apr-2015,57065.00,247918.80,3313481.76
16-Apr-2015,54031.00,223404.06,2795991.56
17-Apr-2015,68746.00,290851.34,4792618.37
18-Apr-2015,80367.00,382239.87,6995533.28
19-Apr-2015,48343.00,215017.72,3006596.36
20-Apr-2015,46954.00,183596.19,2166507.85
21-Apr-2015,49566.00,194714.09,2404995.10
22-Apr-2015,49881.00,194984.62,2511895.08
23-Apr-2015,50233.00,202698.84,2519334.69
24-Apr-2015,56688.00,229417.81,3041561.47
25-Apr-2015,55772.00,250467.32,3818108.36
26-Apr-2015,47132.00,208516.19,3033230.61
27-Apr-2015,44749.00,172170.73,2168759.98
28-Apr-2015,45566.00,175238.95,2247421.24
29-Apr-2015,60273.00,267181.51,3966417.89
30-Apr-2015,61064.00,257813.72,3425960.20
1-May-2015,64740.00,266324.80,3802833.00
2-May-2015,65254.00,290535.32,4412322.44
3-May-2015,52890.00,237087.81,3373342.59
4-May-2015,54494.00,218560.32,2751145.10
5-May-2015,53674.00,212960.66,2800564.50
6-May-2015,60633.00,231390.58,3268001.76
7-May-2015,59292.00,231667.46,3157640.41
8-May-2015,66798.00,257159.47,3889830.46
9-May-2015,75879.00,319497.04,5190127.68
10-May-2015,52565.00,216685.94,3434739.93
11-May-2015,48631.00,183402.90,2269079.80
12-May-2015,51318.00,190542.13,2413227.64
13-May-2015,53127.00,215695.53,3530765.77
14-May-2015,56958.00,234889.25,3276861.98
15-May-2015,61050.00,243905.87,3520444.25
16-May-2015,63207.00,279037.87,4299804.87
17-May-2015,53227.00,240442.27,3582084.11
18-May-2015,48625.00,186369.18,2462883.40
19-May-2015,50612.00,198762.19,2653671.25
20-May-2015,58822.00,262101.08,3276370.54
21-May-2015,58331.00,255354.22,3185581.65
22-May-2015,69427.00,317137.27,4467396.57
23-May-2015,64712.00,315759.66,4732978.91
24-May-2015,51207.00,243464.22,3659338.59
25-May-2015,42410.00,194603.64,3208304.11
26-May-2015,50312.00,200176.61,2594096.91
27-May-2015,50792.00,197704.96,2455812.60
28-May-2015,53418.00,213553.99,2648536.98
29-May-2015,63877.00,260386.96,3407682.86
30-May-2015,62109.00,281317.08,3975610.67
31-May-2015,51127.00,233850.47,3133753.85
1-Jun-2015,51093.00,204795.38,2563129.91
2-Jun-2015,50836.00,202714.95,2524173.26
3-Jun-2015,52800.00,224242.75,2789063.20
4-Jun-2015,53400.00,213953.46,2730543.54
5-Jun-2015,60655.00,252799.09,3328944.04
6-Jun-2015,58842.00,266184.17,3715757.01
7-Jun-2015,49483.00,223116.74,3010198.68
8-Jun-2015,48253.00,188366.79,2297933.97
9-Jun-2015,48544.00,189765.38,2386702.98
10-Jun-2015,51628.00,213896.14,2869059.58
11-Jun-2015,52331.00,209317.29,2695642.30
12-Jun-2015,61681.00,252802.39,3449615.26
13-Jun-2015,60822.00,271009.94,3965221.15
14-Jun-2015,50035.00,225090.18,2989507.66
15-Jun-2015,49022.00,193995.82,2369971.70
16-Jun-2015,49174.00,200618.56,2417466.00
17-Jun-2015,67442.00,322391.06,5726778.01
18-Jun-2015,61453.00,276639.43,4252594.64
19-Jun-2015,67863.00,301489.61,4681749.98
20-Jun-2015,69896.00,341687.55,5803643.45
21-Jun-2015,51668.00,243222.12,4030640.29
22-Jun-2015,54257.00,226611.49,3185355.51
23-Jun-2015,59380.00,257154.30,3930010.63
24-Jun-2015,48571.00,194005.54,2306943.02
25-Jun-2015,48520.00,198635.04,2382880.77
26-Jun-2015,52497.00,212459.08,2678048.32
27-Jun-2015,51282.00,235901.56,3166068.76
28-Jun-2015,41669.00,191946.69,2513671.96
29-Jun-2015,43189.00,172299.03,2068013.81
30-Jun-2015,53098.00,223695.50,2752404.33
1-Jul-2015,71620.00,357499.40,4947791.27
2-Jul-2015,71335.00,340597.88,4316764.65
3-Jul-2015,65129.00,319644.39,4420030.33
4-Jul-2015,37944.00,171438.91,2350862.11
5-Jul-2015,40535.00,187775.83,2595890.45
6-Jul-2015,47984.00,203248.84,2564307.28
7-Jul-2015,49904.00,216062.51,2548048.37
8-Jul-2015,48137.00,232816.37,2327889.90
9-Jul-2015,48902.00,219444.62,2386487.55
10-Jul-2015,53072.00,230204.11,2610144.19
11-Jul-2015,52087.00,255112.86,3032224.39
12-Jul-2015,43110.00,211203.65,2429104.95
13-Jul-2015,42647.00,192840.47,1816611.27
14-Jul-2015,48869.00,220674.54,2325623.63
15-Jul-2015,66628.00,334181.26,5185947.25
16-Jul-2015,58896.00,280682.32,3699474.34
17-Jul-2015,63653.00,302999.94,4124707.08
18-Jul-2015,63509.00,349561.68,4903022.31
19-Jul-2015,53403.00,287964.17,3901757.19
20-Jul-2015,53919.00,255578.74,3172041.27
21-Jul-2015,60525.00,295622.11,3890357.54
22-Jul-2015,48581.00,227691.43,2298614.69
23-Jul-2015,48484.00,228517.84,2298954.38
24-Jul-2015,54598.00,249880.16,2783156.03
25-Jul-2015,53885.00,284419.33,3310657.93
26-Jul-2015,44457.00,231180.85,2609191.21
27-Jul-2015,46089.00,206523.47,2098379.50
28-Jul-2015,45573.00,205850.06,2170691.24
29-Jul-2015,52578.00,243467.35,3503451.58
30-Jul-2015,55794.00,258179.70,3118526.22
31-Jul-2015,63924.00,296061.55,3727442.31
1-Aug-2015,62453.00,323807.39,4229439.71
2-Aug-2015,51947.00,265139.47,3379638.09
3-Aug-2015,50593.00,223216.21,2594895.39
4-Aug-2015,50161.00,218124.83,2674740.93
5-Aug-2015,49513.00,233711.87,2598470.21
6-Aug-2015,49522.00,230657.26,2491363.37
7-Aug-2015,56172.00,266209.44,3056898.99
8-Aug-2015,55320.00,300536.43,3551339.46
9-Aug-2015,47126.00,246639.98,2804608.40
10-Aug-2015,45969.00,200519.36,2189293.31
11-Aug-2015,46488.00,206471.78,2266812.97
12-Aug-2015,62164.00,310732.66,4901540.36
13-Aug-2015,61714.00,299850.90,4195642.11
14-Aug-2015,68231.00,337418.23,4577039.25
15-Aug-2015,68526.00,374030.43,5319564.09
16-Aug-2015,55363.00,294492.37,4169963.86
17-Aug-2015,54369.00,245778.52,3210119.21
18-Aug-2015,61723.00,286597.06,3996466.31
19-Aug-2015,49951.00,210821.33,2597585.32
20-Aug-2015,49170.00,211961.45,2597599.15
21-Aug-2015,56218.00,246253.74,3194564.35
22-Aug-2015,55678.00,272056.03,3526114.35
23-Aug-2015,46463.00,225058.05,2898596.24
24-Aug-2015,44784.00,183199.30,2131571.34
25-Aug-2015,47517.00,195344.49,2451649.80
26-Aug-2015,59066.00,295748.70,4088217.00
27-Aug-2015,57566.00,269311.92,3219143.54
28-Aug-2015,56621.00,243756.25,3184152.52
29-Aug-2015,60334.00,295863.08,4210609.33
30-Aug-2015,52293.00,256870.55,3463534.07
31-Aug-2015,48673.00,201961.83,2475423.04
1-Sep-2015,52904.00,224023.44,2868228.63
2-Sep-2015,56671.00,266004.44,3199341.02
3-Sep-2015,56545.00,260275.00,3107187.03
4-Sep-2015,67060.00,315118.96,4283318.27
5-Sep-2015,64216.00,327065.63,4814016.72
6-Sep-2015,50841.00,250728.06,3725726.70
7-Sep-2015,45002.00,219009.43,3367955.28
8-Sep-2015,45831.00,185238.65,2224312.65
9-Sep-2015,45501.00,177638.98,2164980.63
10-Sep-2015,45691.00,183936.49,2178723.74
11-Sep-2015,51752.00,209746.70,2640168.47
12-Sep-2015,58929.00,290891.52,3671676.69
13-Sep-2015,47214.00,214380.53,2716645.01
14-Sep-2015,47950.00,195251.00,2209605.55
15-Sep-2015,48914.00,194621.10,2335182.93
16-Sep-2015,52161.00,210759.25,3324875.29
17-Sep-2015,49239.00,194584.78,2660127.26
18-Sep-2015,72081.00,318421.48,5299835.00
19-Sep-2015,70338.00,328716.03,5568171.43
20-Sep-2015,45752.00,200589.45,2894455.97
21-Sep-2015,44370.00,167732.07,2210162.91
22-Sep-2015,46282.00,179284.70,2502455.88
23-Sep-2015,46542.00,181445.84,2440478.86
24-Sep-2015,46076.00,185406.79,2343556.64
25-Sep-2015,53579.00,213051.22,2997810.48
26-Sep-2015,53645.00,239920.94,3584624.44
27-Sep-2015,41001.00,182759.36,2604268.02
28-Sep-2015,40544.00,155325.68,1918646.22
29-Sep-2015,44049.00,167426.85,2283273.27
30-Sep-2015,62128.00,278029.64,4070611.36
1-Oct-2015,62051.00,273445.56,3721266.13
2-Oct-2015,62940.00,265089.10,3760710.44
3-Oct-2015,63064.00,288785.39,4389848.50
4-Oct-2015,48345.00,214250.07,3006143.85
5-Oct-2015,47533.00,182046.71,2357651.04
6-Oct-2015,50433.00,195339.23,2692568.70
7-Oct-2015,51186.00,213349.31,2518342.00
8-Oct-2015,50073.00,199037.98,2424069.62
9-Oct-2015,58405.00,236841.85,3265207.41
10-Oct-2015,55794.00,249811.63,3587647.82
11-Oct-2015,43632.00,193939.84,2645979.35
12-Oct-2015,38937.00,165193.46,2170100.86
13-Oct-2015,46381.00,181213.33,2056741.03
14-Oct-2015,63566.00,275243.67,5006145.66
15-Oct-2015,59301.00,251829.36,3866560.31
16-Oct-2015,62948.00,265456.91,4089937.06
17-Oct-2015,66170.00,311655.59,5338803.02
18-Oct-2015,56082.00,264447.76,4280335.26
19-Oct-2015,52638.00,211717.25,3102524.02
20-Oct-2015,59633.00,268326.92,4028223.90
21-Oct-2015,47005.00,177927.77,2206255.58
22-Oct-2015,48315.00,186180.67,2266440.35
23-Oct-2015,54882.00,219728.97,2799689.05
24-Oct-2015,53568.00,239844.29,3303749.21
25-Oct-2015,42477.00,189429.64,2416373.06
26-Oct-2015,43353.00,169943.82,1991015.29
27-Oct-2015,45276.00,174445.59,2081606.28
28-Oct-2015,46548.00,189199.52,2336512.31
29-Oct-2015,53261.00,217182.95,2684938.93
30-Oct-2015,76514.00,318319.43,5064872.52
31-Oct-2015,69285.00,313898.58,4896641.04
1-Nov-2015,51372.00,230872.93,3445344.09
2-Nov-2015,44060.00,171835.74,2047184.52
3-Nov-2015,47707.00,185603.01,2406961.28
4-Nov-2015,50327.00,199044.22,2981448.82
5-Nov-2015,49855.00,197487.47,2631818.62
6-Nov-2015,60358.00,234451.19,3441712.42
7-Nov-2015,58515.00,256407.63,3990040.89
8-Nov-2015,45631.00,202963.13,2898174.42
9-Nov-2015,43017.00,163410.98,2031494.24
10-Nov-2015,47045.00,176883.33,2333602.91
11-Nov-2015,65419.00,329219.10,7368303.16
12-Nov-2015,60826.00,261220.83,4151235.34
13-Nov-2015,68919.00,300477.36,4820438.51
14-Nov-2015,70863.00,348939.10,6025893.24
15-Nov-2015,65604.00,317147.22,5462932.62
16-Nov-2015,49278.00,185034.60,2373549.67
17-Nov-2015,47935.00,183619.96,2583147.02
18-Nov-2015,59451.00,266693.54,3405118.78
19-Nov-2015,55128.00,231354.98,2892557.76
20-Nov-2015,64670.00,276914.22,3796915.72
21-Nov-2015,63851.00,305385.05,4358991.46
22-Nov-2015,50558.00,231442.59,4404585.40
23-Nov-2015,51046.00,203592.22,2882533.85
24-Nov-2015,55923.00,227094.82,3237256.35
25-Nov-2015,63285.00,253542.74,3796549.83
26-Nov-2015,819.00,4088.00,18792.80
27-Nov-2015,172661.00,985243.74,34321083.30
28-Nov-2015,106050.00,548168.54,11178052.34
29-Nov-2015,73916.00,337211.80,6653654.18
30-Nov-2015,53822.00,202410.04,2830824.59
1-Dec-2015,56994.00,222303.72,2774187.93
2-Dec-2015,70908.00,332948.99,5156212.72
3-Dec-2015,70535.00,317765.42,4705484.28
4-Dec-2015,79439.00,362496.75,5480595.24
5-Dec-2015,85600.00,436081.20,7056131.20
6-Dec-2015,68485.00,348408.21,5255479.22
7-Dec-2015,64225.00,284279.80,4120201.66
8-Dec-2015,75436.00,344420.79,5341477.80
9-Dec-2015,64579.00,271385.05,4035329.11
10-Dec-2015,66388.00,287455.44,4154055.76
11-Dec-2015,74831.00,327529.48,5072018.25
12-Dec-2015,86652.00,442229.84,7331568.19
13-Dec-2015,68917.00,351807.17,5614986.72
14-Dec-2015,69821.00,307777.53,4705165.46
15-Dec-2015,77253.00,349695.58,5506334.92
16-Dec-2015,81741.00,396946.95,6141514.63
17-Dec-2015,80626.00,382622.45,5863097.94
18-Dec-2015,88654.00,422191.66,6919634.86
19-Dec-2015,93244.00,509090.94,9062781.12
20-Dec-2015,74903.00,401556.75,6739968.98
21-Dec-2015,86394.00,412113.92,7219059.43
22-Dec-2015,98891.00,481045.04,8775850.69
23-Dec-2015,103343.00,469783.80,8127900.62
24-Dec-2015,86801.00,382930.90,6797406.65
26-Dec-2015,76788.00,346891.24,4711350.40
27-Dec-2015,49715.00,201604.12,2573216.06
28-Dec-2015,56292.00,205037.27,2483168.46
29-Dec-2015,58559.00,221466.32,2815252.59
30-Dec-2015,64566.00,262407.35,3580508.10
31-Dec-2015,62654.00,255190.47,3530289.98
1-Jan-2016,25347.00,112719.61,1504097.53
2-Jan-2016,58175.00,251391.70,3311032.97
3-Jan-2016,45434.00,188273.24,2371055.76
4-Jan-2016,49614.00,186290.20,2135899.48
5-Jan-2016,49100.00,184764.74,2201238.32
6-Jan-2016,48493.00,181507.11,2199500.40
7-Jan-2016,47728.00,178697.25,2127595.65
8-Jan-2016,54042.00,208340.50,2581741.92
9-Jan-2016,55975.00,235586.94,3292170.92
10-Jan-2016,44425.00,192731.57,2431312.94
11-Jan-2016,44077.00,167702.85,1871514.05
12-Jan-2016,45419.00,170823.84,2007096.63
13-Jan-2016,47147.00,185139.84,2207129.21
14-Jan-2016,54303.00,220765.40,2769040.35
15-Jan-2016,68533.00,295934.09,4434223.27
16-Jan-2016,66918.00,306757.61,4704395.72
17-Jan-2016,45132.00,200389.02,2667495.45
18-Jan-2016,40942.00,170773.50,2279151.46
19-Jan-2016,50403.00,191587.35,2192757.09
20-Jan-2016,46614.00,175765.81,2051677.05
21-Jan-2016,47661.00,184701.96,2143029.35
22-Jan-2016,48377.00,188277.07,2310923.79
23-Jan-2016,47539.00,201883.40,2679939.98
24-Jan-2016,37254.00,156501.79,1915130.16
25-Jan-2016,35098.00,127519.52,1329726.49
26-Jan-2016,38658.00,141996.26,1662501.66
27-Jan-2016,62993.00,300717.96,4756383.60
28-Jan-2016,54150.00,235312.04,3227732.08
29-Jan-2016,68716.00,305282.40,4459148.00
30-Jan-2016,71759.00,363123.92,5583725.88
31-Jan-2016,53733.00,256999.62,3860996.93
1-Feb-2016,49138.00,195708.88,2692382.28
2-Feb-2016,57809.00,232440.44,3540613.55
3-Feb-2016,45194.00,177763.86,2175379.79
4-Feb-2016,44937.00,179813.20,2141723.83
5-Feb-2016,54004.00,219397.72,2828159.92
6-Feb-2016,58012.00,266306.18,3666043.98
7-Feb-2016,41588.00,181246.63,2249722.45
8-Feb-2016,40655.00,160065.70,1877231.90
9-Feb-2016,44932.00,176346.31,2124931.49
10-Feb-2016,51950.00,208486.45,3263411.46
11-Feb-2016,57069.00,237003.80,3444420.00
12-Feb-2016,70203.00,285776.48,4460828.13
